"series","subject","block","n_reps","mean","ci_lower","ci_upper","block_start_day","scenario"
"mean_queue","R2B holding beds",5,30,34.5086088863758,32.0014639188706,37.015753853881,121,"high_intensity"
"mean_queue","R2B holding beds",6,30,35.5578063114174,32.3332384784015,38.7823741444334,151,"high_intensity"
"mean_queue","R2B holding beds",7,30,35.4666964521425,32.624047862989,38.3093450412961,181,"high_intensity"
"mean_queue","R2B holding beds",8,30,35.2334218018907,32.5005449568535,37.9662986469279,211,"high_intensity"
"mean_queue","R2B holding beds",9,30,33.7127179340404,31.0457030141631,36.3797328539177,241,"high_intensity"
"mean_queue","R2B holding beds",10,30,36.4517042013528,33.9989396997223,38.9044687029834,271,"high_intensity"
"mean_queue","R2B holding beds",11,30,34.3481985096468,31.7491969063643,36.9472001129293,301,"high_intensity"
"mean_queue","R2B holding beds",12,30,35.4812252321384,32.9160297815535,38.0464206827234,331,"high_intensity"
"mean_queue","R2B operating theatres",1,30,0,0,0,1,"high_intensity"
"mean_queue","R2B operating theatres",2,30,0,0,0,31,"high_intensity"
"mean_queue","R2B operating theatres",3,30,0,0,0,61,"high_intensity"
"mean_queue","R2B operating theatres",4,30,0,0,0,91,"high_intensity"
"mean_queue","R2B operating theatres",5,30,0,0,0,121,"high_intensity"
"mean_queue","R2B operating theatres",6,30,0,0,0,151,"high_intensity"
"mean_queue","R2B operating theatres",7,30,0,0,0,181,"high_intensity"
"mean_queue","R2B operating theatres",8,30,0,0,0,211,"high_intensity"
"mean_queue","R2B operating theatres",9,30,0,0,0,241,"high_intensity"
"mean_queue","R2B operating theatres",10,30,0,0,0,271,"high_intensity"
"mean_queue","R2B operating theatres",11,30,0,0,0,301,"high_intensity"
"mean_queue","R2B operating theatres",12,30,0,0,0,331,"high_intensity"
"mean_queue","R2E holding beds",1,30,38.7506625201782,35.0251281831144,42.4761968572419,1,"high_intensity"
"mean_queue","R2E holding beds",2,30,107.368792507556,98.5425718734928,116.19501314162,31,"high_intensity"
"mean_queue","R2E holding beds",3,30,164.171661112606,153.874256886653,174.469065338559,61,"high_intensity"
"mean_queue","R2E holding beds",4,30,202.767518580791,190.781708739221,214.753328422361,91,"high_intensity"
"mean_queue","R2E holding beds",5,30,239.813216020951,224.460731988497,255.165700053404,121,"high_intensity"
"mean_queue","R2E holding beds",6,30,282.23296462331,265.266215069398,299.199714177222,151,"high_intensity"
"mean_queue","R2E holding beds",7,30,320.53097025031,301.185827980176,339.876112520445,181,"high_intensity"
"mean_queue","R2E holding beds",8,30,349.240123309118,328.778843672985,369.701402945251,211,"high_intensity"
"mean_queue","R2E holding beds",9,30,387.417914960125,367.088186667535,407.747643252716,241,"high_intensity"
"mean_queue","R2E holding beds",10,30,427.042284030345,404.983209941304,449.101358119386,271,"high_intensity"
"mean_queue","R2E holding beds",11,30,466.921199094319,445.7692097325,488.073188456138,301,"high_intensity"
"mean_queue","R2E holding beds",12,30,502.310416159068,481.23212075895,523.388711559186,331,"high_intensity"
"mean_queue","R2E intensive care",1,30,30.1185827334301,27.6107774876251,32.626387979235,1,"high_intensity"
"mean_queue","R2E intensive care",2,30,145.897723066379,138.705618108943,153.089828023815,31,"high_intensity"
"mean_queue","R2E intensive care",3,30,281.171414320494,272.568644880915,289.774183760073,61,"high_intensity"
"mean_queue","R2E intensive care",4,30,423.350107105768,413.06236491283,433.637849298706,91,"high_intensity"
"mean_queue","R2E intensive care",5,30,568.580077447038,556.785628417355,580.374526476722,121,"high_intensity"
"mean_queue","R2E intensive care",6,30,713.390603840435,701.628598108141,725.152609572728,151,"high_intensity"
"mean_queue","R2E intensive care",7,30,863.894570393922,850.167164678555,877.621976109289,181,"high_intensity"
"mean_queue","R2E intensive care",8,30,1016.79319810208,1002.64024635409,1030.94614985008,211,"high_intensity"
"mean_queue","R2E intensive care",9,30,1166.87440541827,1152.28078667329,1181.46802416325,241,"high_intensity"
"mean_queue","R2E intensive care",10,30,1320.26548221825,1304.97556257077,1335.55540186573,271,"high_intensity"
"mean_queue","R2E intensive care",11,30,1473.76146560293,1457.99395213885,1489.52897906702,301,"high_intensity"
"mean_queue","R2E intensive care",12,30,1630.79682503733,1613.78011216434,1647.81353791032,331,"high_intensity"
"mean_queue","R2E operating theatres",1,30,40.4758496781241,33.4700133325933,47.4816860236549,1,"high_intensity"
"mean_queue","R2E operating theatres",2,30,96.407949426949,85.8753230019309,106.940575851967,31,"high_intensity"
"mean_queue","R2E operating theatres",3,30,154.076064263958,137.885558607794,170.266569920122,61,"high_intensity"
"mean_queue","R2E operating theatres",4,30,210.519585721374,181.500498514413,239.538672928334,91,"high_intensity"
"mean_queue","R2E operating theatres",5,30,257.201674404132,225.15242981835,289.250918989915,121,"high_intensity"
"mean_queue","R2E operating theatres",6,30,298.06560240486,258.444808268451,337.686396541268,151,"high_intensity"
"mean_queue","R2E operating theatres",7,30,356.877832517433,311.204209636851,402.551455398015,181,"high_intensity"
"mean_queue","R2E operating theatres",8,30,408.469875276943,360.722382736235,456.21736781765,211,"high_intensity"
