"decisions","boarded","queued_at_end","mean_wait_days","p90_wait_days","mean_wait_critical","mean_wait_standard","sorties_scheduled","sorties_flown","cancellation_rate","role4_peak","role4_peak_day","role4_peak_after_end","hold_total_bed_days","hold_evac_bed_days","hold_recovery_bed_days","hold_post_definitive_bed_days","hold_post_op_bed_days","hold_unexplained_bed_days","hold_evac_share","ventilated_holds","ventilated_hold_hours","replication","setting","value","arm","scenario"
187,184,3,0.816207080595958,3,0.91754443236784,0.643337480514513,4,4,0,114,28,-2,494.793389936553,118,244.352194449311,104.547680907593,27.8935145796496,1.13686837721616e-13,0.238483379931836,12,26.264258106602,11,"shipped",0,"baseline","moderate_intensity"
172,172,0,0.346095027069093,1.39234901087557,0.457294028557893,0.215189873417722,4,4,0,113,26,-4,341.79251541815,44,188.701549917676,87.8775068627808,21.2134586376931,0,0.128733070547699,13,23.8866075599484,12,"shipped",0,"baseline","moderate_intensity"
126,126,0,0.83036495860884,4,0.800360899787693,0.87037037037037,4,4,0,81,30,0,343.494727795503,92,183.442096599603,56.0170113186845,12.0356198772154,0,0.267835260792624,12,24.1698382511572,13,"shipped",0,"baseline","moderate_intensity"
143,143,0,0.712781225635355,2.37204484049799,0.75744742050391,0.634615384615385,4,4,0,92,26,-4,452.58903407844,63,296.538601538331,78.0009988881847,15.0494336519241,-5.6843418860808e-14,0.139199130461215,21,23.5724311031319,14,"shipped",0,"baseline","moderate_intensity"
151,151,0,0.382347764915781,1.92012301403547,0.39747154764079,0.347826086956522,4,4,0,108,30,0,326.133199307871,41,165.252085860611,89.8650768660194,30.0160365812407,5.6843418860808e-14,0.125715505465286,11,23.3757592981733,15,"shipped",0,"baseline","moderate_intensity"
206,203,3,1.31874161949884,4,1.61089800528821,0.712295788390584,4,4,0,136,30,0,591.195366257974,242.562147863264,201.170283665063,138.970153093286,32.0549294996255,-23.5621478632636,0.410291016654246,15,29.5708925563294,16,"shipped",0,"baseline","moderate_intensity"
200,199,1,0.937839276042301,3.02941470262174,1.13497871307862,0.62548847969904,4,4,0,128,30,0,508.260603805874,147,218.12041932429,110.076500481635,33.0636839999501,-5.6843418860808e-14,0.289221708114417,17,23.9481317251722,17,"shipped",0,"baseline","moderate_intensity"
215,214,1,0.381374673117304,1.08858916263501,0.42430790360567,0.322222222222222,4,4,0,150,30,0,350.166427024891,66,135.413935216141,113.273463825233,35.4790279835172,-5.6843418860808e-14,0.188481804383001,12,25.218371645013,18,"shipped",0,"baseline","moderate_intensity"
155,155,0,0.521302159115218,2,0.653783168417836,0.32258064516129,4,4,0,97,30,0,321.944521682211,58,170.166210905788,73.3861874477938,20.3921233286293,0,0.180155263077442,15,29.4335043955877,19,"shipped",0,"baseline","moderate_intensity"
112,112,0,0.398216673829804,1.29142575457579,0.591048768193105,0.111111111111111,4,4,0,74,30,0,333.875573009047,30,250.24956841358,42.8992148509196,10.726789744548,5.6843418860808e-14,0.0898538330600995,12,25.2082287444535,20,"shipped",0,"baseline","moderate_intensity"
126,125,1,0.285780218850058,1,0.351612202056017,0.183673469387755,4,4,0,86,26,-4,319.707845104659,23,225.614441111462,54.4414782718113,16.651925721386,0,0.0719406806938715,12,23.9317770127042,21,"shipped",0,"baseline","moderate_intensity"
190,188,2,0.639651703629615,3,0.882224729364989,0.375516631162208,4,4,0,121,30,0,428.827014997689,100,214.718079319032,92.6901509996094,21.4187846790479,-5.6843418860808e-14,0.233194263660229,15,23.6527226201547,22,"shipped",0,"baseline","moderate_intensity"
128,128,0,0.597951587215474,3,0.628509794677812,0.543478260869565,4,4,0,82,30,0,377.398623251818,68,237.649839633986,56.7594432905902,14.9893403272414,0,0.180180837476525,7,24.4346291713231,23,"shipped",0,"baseline","moderate_intensity"
108,108,0,0.934307486418359,5,0.890849362048967,1,4,4,0,69,29,-1,314.615679062141,96,173.531936506677,35.8863436917668,9.19739886369653,0,0.30513418875427,5,23.5450009592776,24,"shipped",0,"baseline","moderate_intensity"
