"pool","replication","zero_share","longest_busy_days","intensity"
"R2E operating theatres",33,0.0781035744530135,23.6345459476364,"High intensity"
"R2E operating theatres",34,0.0954200418467857,21.9440536903483,"High intensity"
"R2E operating theatres",35,0.107410774022979,22.1041476573071,"High intensity"
"R2E operating theatres",36,0.0190098187503192,29.3702805419636,"High intensity"
"R2E operating theatres",37,0.110254308538405,21.4051320386455,"High intensity"
"R2E operating theatres",38,0.0515145388782711,25.4033339039926,"High intensity"
"R2E operating theatres",39,0.0294653994355668,24.2069194584367,"High intensity"
"R2E operating theatres",40,0.213784551107482,21.6376242997408,"High intensity"
"R2E operating theatres",41,0.13184575078457,26.0303228427274,"High intensity"
"R2E operating theatres",42,0.063303231007793,28.0281341208468,"High intensity"
"R2E operating theatres",43,0.00828276553543647,29.717316242541,"High intensity"
"R2E operating theatres",44,0.0534859997624297,28.3954200071271,"High intensity"
"R2E operating theatres",45,0.0252282530112019,29.0102608387391,"High intensity"
"R2E operating theatres",46,0.0264615907025058,29.1751526877419,"High intensity"
"R2E operating theatres",47,0.0374608509318354,25.0643093513681,"High intensity"
"R2E operating theatres",48,0.0352075718505858,28.8548785868189,"High intensity"
"R2E operating theatres",49,0.0343911124448046,25.9190669573622,"High intensity"
"R2E operating theatres",50,0.0502174483059919,28.3675611070446,"High intensity"
"R2E intensive care",1,0.402111533422071,6.9389883127313,"High intensity"
"R2E intensive care",2,0.312420106201697,13.5769636427812,"High intensity"
"R2E intensive care",3,0.226605827109473,15.3903228526864,"High intensity"
"R2E intensive care",4,0.313826838234567,12.8069071066082,"High intensity"
"R2E intensive care",5,0.332589919726528,12.0913436064791,"High intensity"
"R2E intensive care",6,0.308339266358474,11.9891714384868,"High intensity"
"R2E intensive care",7,0.109785833979225,19.7275683206064,"High intensity"
"R2E intensive care",8,0.411051276478425,7.9465960435982,"High intensity"
"R2E intensive care",9,0.250096480873251,19.1410393775747,"High intensity"
"R2E intensive care",10,0.413666145359924,4.42402629308454,"High intensity"
"R2E intensive care",11,0.49476490413289,5.3843140250911,"High intensity"
"R2E intensive care",12,0.054959877308653,27.7740046514655,"High intensity"
"R2E intensive care",13,0.372631885001896,11.8655898676731,"High intensity"
"R2E intensive care",14,0.263209032183299,15.3239681604187,"High intensity"
"R2E intensive care",15,0.427329763158055,5.58469444457817,"High intensity"
"R2E intensive care",16,0.28471296078866,13.6619840062575,"High intensity"
"R2E intensive care",17,0.159590924502235,18.4960803254838,"High intensity"
"R2E intensive care",18,0.0683884672071759,26.7479539840039,"High intensity"
"R2E intensive care",19,0.494427031474283,6.85157299545755,"High intensity"
"R2E intensive care",20,0.392002567270784,6.26809670881699,"High intensity"
"R2E intensive care",21,0.203198990252424,14.9037826704322,"High intensity"
"R2E intensive care",22,0.257742726310097,13.1670479808922,"High intensity"
"R2E intensive care",23,0.289375196703511,12.8142632756166,"High intensity"
"R2E intensive care",24,0.182968227126565,20.0077725239905,"High intensity"
"R2E intensive care",25,0.186130216438175,18.0666288214513,"High intensity"
"R2E intensive care",26,0.11227150020554,23.7807485550439,"High intensity"
"R2E intensive care",27,0.107451587438722,13.976913864611,"High intensity"
"R2E intensive care",28,0.193623643967664,14.0863533243551,"High intensity"
"R2E intensive care",29,0.14649644909926,15.0720860735083,"High intensity"
"R2E intensive care",30,0.107956895693872,14.1432934766058,"High intensity"
"R2E intensive care",31,0.327734002358051,14.4037563862554,"High intensity"
"R2E intensive care",32,0.0863334358922693,26.0680317865463,"High intensity"
"R2E intensive care",33,0.42990957445852,7.25091511337846,"High intensity"
"R2E intensive care",34,0.405895068954064,6.88696011192511,"High intensity"
"R2E intensive care",35,0.106596372422801,13.5600877216758,"High intensity"
"R2E intensive care",36,0.10067722850712,15.3811691897041,"High intensity"
"R2E intensive care",37,0.44603943927225,5.5709430861004,"High intensity"
"R2E intensive care",38,0.288633400890184,10.3580836380692,"High intensity"
"R2E intensive care",39,0.307533547343711,7.2208434054705,"High intensity"
"R2E intensive care",40,0.303603494381779,18.394223000748,"High intensity"
"R2E intensive care",41,0.43043962634994,7.37945352406217,"High intensity"
"R2E intensive care",42,0.346444871946345,11.3263728778352,"High intensity"
"R2E intensive care",43,0.399868435958143,6.97699392261949,"High intensity"
"R2E intensive care",44,0.341200926303572,12.6998958060185,"High intensity"
"R2E intensive care",45,0.250601517444749,8.48734120323445,"High intensity"
"R2E intensive care",46,0.55101109831875,6.01405636285954,"High intensity"
"R2E intensive care",47,0.30505903241321,8.6299313559355,"High intensity"
"R2E intensive care",48,0.39936070350671,8.36790022966633,"High intensity"
"R2E intensive care",49,0.136302469167489,23.028419620061,"High intensity"
"R2E intensive care",50,0.326830693117135,7.7163866669912,"High intensity"
"R2E holding beds",1,0.132078878429732,26.037633647108,"High intensity"
"R2E holding beds",2,0.0892275403814241,27.3231737885573,"High intensity"
"R2E holding beds",3,0.125521007164868,26.234369785054,"High intensity"
"R2E holding beds",4,0.1775725900742,24.672822297774,"High intensity"
"R2E holding beds",5,0.11382506574883,26.5852480275351,"High intensity"
"R2E holding beds",6,0.184504493942209,24.4648651817337,"High intensity"
"R2E holding beds",7,0.160953384646259,25.1713984606122,"High intensity"
"R2E holding beds",8,0.143411446020568,25.697656619383,"High intensity"
"R2E holding beds",9,0.167692744534204,24.9692176639739,"High intensity"
"R2E holding beds",10,0.156516029454562,25.3045191163631,"High intensity"
